"year","month","sumprecip","maxtemp","mintemp"
2000,3,5.588,27.74,-2.11
2000,4,0,35.33,1.629
2000,5,0,39.88,9.58
2000,6,41.402,38.92,15.35
2000,7,21.336,39.23,17.44
2000,8,40.64,38.93,13.3
2000,9,2.54,38.24,12.33
2000,10,131.572,35.55,3.802
2000,11,25.4,21.41,-2.392
2000,12,6.858,19.83,-4.821
2001,1,28.194,19.86,-5.807
2001,2,4.572,23.59,-5.015
2001,3,3.048,28.18,-1.712
2001,4,13.208,31.52,-1.641
2001,5,9.652,37.03,7.35
2001,6,17.78,39.28,12.93
2001,7,49.276,38.43,16.44
2001,8,56.642,37.84,15.57
2001,9,13.208,36.96,12.83
2001,10,2.286,32.05,4.879
2001,11,5.08,28.3,-4.801
2001,12,5.334,21.46,-6.545
2002,1,1.016,22.37,-6.555
2002,2,NA,NA,NA
2002,3,NA,NA,NA
2002,4,NA,NA,NA
2002,5,NA,NA,NA
2002,6,NA,NA,NA
2002,7,NA,NA,NA
2002,8,NA,NA,NA
2002,9,NA,NA,NA
2002,10,NA,NA,NA
2002,11,NA,NA,NA
2002,12,NA,NA,NA
2003,1,0.9,23.34,-1.92
2003,2,16.8,26.14,-4.71
2003,3,3.9,28.68,-1.92
2003,4,0,29.76,-0.2
2003,5,0,37.36,6.65
2003,6,7.5,37.92,15.02
2003,7,28.1,41.44,16.98
2003,8,16.7,39.65,17.38
2003,9,5.9,35.5,13.38
2003,10,9.5,34.34,1.96
2003,11,19.2,27.16,-3.37
2003,12,11,23.47,-9.71
2004,1,32.6,18.52,-2.282
2004,2,23.2,25.3,-5.924
2004,3,27.3,29.13,0.245
2004,4,NA,NA,NA
2004,5,1.4,34.47,6.801
2004,6,17.4,38.42,13.61
2004,7,53.1,38.16,16.03
2004,8,95.2,36.84,14.57
2004,9,28.5,35.46,9.21
2004,10,18.8,33.5,4.515
2004,11,25.1,24.48,-7.08
2004,12,15.1,21.27,-7.55
2005,1,55.7,21.81,-3.633
2005,2,40,18.86,-2.774
2005,3,5.1,25.25,-3.201
2005,4,4.8,29.53,2.401
2005,5,3.1,39.5,7.23
2005,6,0,39.91,13.21
2005,7,28.9,40.61,17.38
2005,8,45.2,37.52,15.36
2005,9,33.9,35.74,11.74
2005,10,22.9,33.82,6.335
2005,11,0,28.91,-8.45
2005,12,3.9,24.89,-5.618
2006,1,2.9,22.63,-5.786
2006,2,2.8,26.09,-3.835
2006,3,6.3,25.93,-4.632
2006,4,1.1,31.81,1.662
2006,5,0,35.7,9.61
2006,6,12.2,39.11,17.65
2006,7,98.2,39.25,16.62
2006,8,125.3,32.91,15.66
2006,9,75.5,31.41,9.35
2006,10,62.5,32.42,1.376
2006,11,0,28.92,-9.84
2006,12,5.8,21.32,-7.18
2007,1,34.5,18.64,-10.03
2007,2,2.4,23.53,-2.96
2007,3,18.6,30.07,-7.88
2007,4,15.1,30.1,2.102
2007,5,15.4,33.8,8.12
2007,6,8.1,39.45,10.74
2007,7,37.3,41.27,15.8
2007,8,10.6,35.82,17.42
2007,9,3.8,34.57,12.3
2007,10,0.7,34.64,1.177
2007,11,12.4,28.91,-2.574
2007,12,27.3,24.95,-7.44
2008,1,6.9,20.59,-6.717
2008,2,5.1,26.94,-5.685
2008,3,0,28.15,-3.4
2008,4,0,31.35,2.075
2008,5,4.7,37.55,4.455
2008,6,0,39.23,12.13
2008,7,104.7,36.67,17.58
2008,8,72.6,35.48,15.68
2008,9,9.3,34.24,10.45
2008,10,2,32,0.645
2008,11,12,29.29,-0.845
2008,12,10.3,23.05,-8.87
2009,1,11.6,22.22,-5.319
2009,2,3.8,28.85,-4.592
2009,3,14,28.25,-0.845
2009,4,0.4,31.51,2.163
2009,5,17.2,36.46,11.66
2009,6,18.7,37.42,12.63
2009,7,28.3,40.04,18.38
2009,8,NA,NA,NA
2009,9,NA,NA,NA
2009,10,NA,NA,NA
2009,11,21.7,27.89,-1.358
2009,12,17,18.59,-5.341
2010,1,64.9,18.36,-4.878
2010,2,25.7,20.45,-1.458
2010,3,4.4,28.32,-0.027
2010,4,6.1,29.21,1.461
2010,5,4.5,35.61,1.497
2010,6,3.8,40.56,13.28
2010,7,29.6,40.33,17.75
2010,8,42.3,39.02,15.93
2010,9,5.2,36.61,12.53
2010,10,21.9,34.6,5.801
2010,11,1.1,26.83,-7.69
2010,12,7.4,24.02,-4.042
2011,1,2.1,23.07,-9.92
2011,2,2.1,25.31,-16.59
2011,3,0.4,28.8,-0.459
2011,4,0.3,32.82,2.061
2011,5,0,36.21,3.62
2011,6,0.6,41.33,13.74
2011,7,90.6,38.61,18.14
2011,8,25.5,40.08,16.7
2011,9,41.3,37.59,13.12
2011,10,4.9,34.51,1.804
2011,11,20.8,29.26,-2.745
2011,12,56.4,22.77,-6.834
2012,1,2.9,22.13,-2.879
2012,2,14.3,22.94,-4.042
2012,3,5.7,29.51,-6.2
2012,4,0.7,34.9,1.497
2012,5,4.3,36.74,7.95
2012,6,0.3,40.23,15.11
2012,7,38.7,38.74,16.93
2012,8,12.4,38.95,16.8
2012,9,9.7,37.45,8.79
2012,10,0.1,33.21,4.219
2012,11,2.8,29.31,-2.146
2012,12,11.4,24.05,-5.429
2013,1,10.4,22.11,-11.14
2013,2,7,21.64,-8.26
2013,3,4.4,30.36,-1.478
2013,4,1.4,31.81,2.829
2013,5,0.8,35.35,6.299
2013,6,4.2,40,16.2
2013,7,58.4,37.27,17.19
2013,8,56.3,37.12,15.8
2013,9,70.7,34.54,10.08
2013,10,0,31.4,2.13
2013,11,22,26.12,-1.25
2013,12,15,22.54,-4.763
2014,1,0,24.46,-4.436
2014,2,0.1,29.11,-3.343
2014,3,10.6,27.56,1.631
2014,4,5.8,31.54,2.981
2014,5,0.1,37.76,6.171
2014,6,6.6,40.03,16.93
2014,7,73.5,39.57,17.42
2014,8,75.5,35.11,15.39
2014,9,70,35.71,11.65
2014,10,18.5,31.24,7.94
2014,11,5.4,25.76,-3.404
2014,12,12.6,23.04,-4.427
2015,1,28.2,24.17,-7.72
2015,2,0.2,25.65,-0.02
